family,label,initial,depth,lambda_fim,basis_setting,pauli_label,observable,noise_scales,scale_expectations,readout_mitigated_scale_expectations,exact_expectation,scale1_expectation,scale1_absolute_deviation,linear_zne_expectation,linear_zne_fit_residual,linear_zne_absolute_deviation,readout_mitigated_linear_zne_expectation,readout_mitigated_linear_zne_fit_residual,readout_mitigated_linear_zne_absolute_deviation,quadratic_zne_expectation,quadratic_zne_fit_residual,quadratic_zne_absolute_deviation,readout_mitigated_quadratic_zne_expectation,readout_mitigated_quadratic_zne_fit_residual,readout_mitigated_quadratic_zne_absolute_deviation
dla_parity,dla_odd_signal,000001,10,,YYIIII,YYIIII,YY_q0_q1,"1,3,5","0.00520833333333,0.0162760416667,-0.00325520833333","0.032834036165,-0.0105378928159,0.00732424694408",-0.005699048122744116,0.005208333333333333,0.010907381456077449,0.012424045138888883,0.007212243644914873,0.018123093261633,0.0290058053468021,0.014433008415441848,0.034704853469546215,-0.011800130208333214,1.0964867000628083e-16,0.006101082085589098,0.07748277643333865,2.2623348176627347e-16,0.08318182455608276
fim_pair,fim_lambda0_reference,000011,4,0.0,IIIIXX,IIIIXX,XX_q4_q5,"1,3,5","0.853515625,0.838541666667,0.844401041667","-1.27405137298,0.82251569987,0.104399753149",-0.03409923454926813,0.853515625,0.8876148595492681,0.8523220486111112,0.004910463758239948,0.8864212831603793,-1.1495503179130069,0.6634271500089425,1.1154510833637388,0.8688151041666661,1.9229626863835638e-16,0.9029143387159342,-3.377841041737288,9.999178051348097e-15,3.3437418071880196
fim_pair,fim_lambda0_reference,000011,4,0.0,IIIIYY,IIIIYY,YY_q4_q5,"1,3,5","0.8515625,0.840494791667,0.824869791667","-3.81078752188,0.370876365618,-0.299959884239",-0.03409923454926814,0.8515625,0.8856617345492681,0.858995225694444,0.0010741639471149723,0.8930944602437121,-3.8797444083968626,1.1437452509438661,3.8456451738475943,0.8553873697916657,3.510833468576701e-16,0.8894866043409339,-7.7213070171353495,1.9540188068525332e-14,7.687207782586081
fim_pair,fim_lambda0_reference,000011,4,0.0,IIXXII,IIXXII,XX_q2_q3,"1,3,5","-0.0247395833333,-0.0104166666667,-0.0305989583333","-0.0258864192127,0.0231197973456,-0.0227289304285",-0.01973251045304026,-0.024739583333333332,0.005007072880293072,-0.017523871527777773,0.008132955599584858,0.002208638925262487,-0.010866634019969384,0.022357524788838394,0.008865876433070876,-0.04484049479166653,7.786957081737184e-17,0.025107984338626273,-0.08596013161645531,2.738153534653869e-16,0.06622762116341505
fim_pair,fim_lambda0_reference,000011,4,0.0,IIYYII,IIYYII,YY_q2_q3,"1,3,5","0.0833333333333,0.0657552083333,0.087890625","0.0806660170162,0.0730650057352,0.1057921343",-0.019732510453040256,0.08333333333333333,0.10306584378637358,0.07557508680555552,0.009360571539144836,0.09530759725859578,0.06766313105443804,0.009505433719131321,0.08739564150747829,0.10701497395833315,9.910722837601153e-17,0.1267474844113734,0.09958957509879371,1.3992958146130824e-16,0.11932208555183396
fim_pair,fim_lambda0_reference,000011,4,0.0,XXIIII,XXIIII,XX_q0_q1,"1,3,5","0.00325520833333,0.03515625,0.00651041666667","-0.00782655814741,-0.0215254425936,-0.0174312684161",-6.747743926172713e-06,0.0032552083333333335,0.0032619560772595064,0.012532552083333322,0.014271035297384748,0.012539299827259494,-0.00839089035084221,0.004193864136950017,0.008384142606916037,-0.03540039062499974,1.9286352726450838e-16,0.03539364288107357,0.005695281059566724,5.826192175840497e-17,0.005702028803492897
fim_pair,fim_lambda0_reference,000011,4,0.0,YYIIII,YYIIII,YY_q0_q1,"1,3,5","-0.017578125,0.0110677083333,0.0169270833333","0.0261707265698,0.0255571803279,0.0100265150928",-6.747743926249139e-06,-0.017578125,0.01757137725607375,-0.022406684027777776,0.005370819735574907,0.022399936283851528,0.03269296593788261,0.003515998665296674,0.03269971368180886,-0.040445963541666546,6.47913993185558e-17,0.0404392157977403,0.020883580068230573,4.825109779041935e-17,0.02089032781215682
fim_pair,fim_lambda4_feedback,000011,4,4.0,IIIIXX,IIIIXX,XX_q4_q5,"1,3,5","-0.013671875,-0.0455729166667,-0.0169270833333","-22.1247308763,-22.7340381006,-17.2251669636",-0.03409923454926825,-0.013671875,0.020427359549268248,-0.02294921874999999,0.014271035297384748,0.011150015799268258,-24.369318247983866,1.4420684692625505,24.3352190134346,0.024983723958333103,1.7514121935860084e-16,0.059082958507601355,-19.525760378617324,7.674738709330906e-15,19.491661144068058
fim_pair,fim_lambda4_feedback,000011,4,4.0,IIIIYY,IIIIYY,YY_q4_q5,"1,3,5","-0.0247395833333,-0.0514322916667,-0.03515625","-3.19472722127,8.00746600878,9.69757010857",-0.03409923454926825,-0.024739583333333332,0.009359651215934916,-0.02929687499999999,0.010127831501369818,0.0048023595492682584,-4.832453365361755,2.2420209090840983,4.798354130812487,0.004720052083333146,1.6060953954431393e-16,0.038819286632601396,-12.362857260144839,2.904854927447168e-14,12.32875802559557
fim_pair,fim_lambda4_feedback,000011,4,4.0,IIXXII,IIXXII,XX_q2_q3,"1,3,5","0.015625,0.01171875,0.00130208333333","0.119196813501,0.117737573693,0.075734329054",-0.019732510453040322,0.015625,0.03535751045304032,0.020290798611111105,0.001534519924449973,0.04002330906415143,0.13681976875090385,0.0095563135842782,0.15655227920394416,0.015136718750000012,1.3553828136231737e-17,0.034869229203040336,0.10472243159260992,1.1159904557703048e-16,0.12445494204565025
fim_pair,fim_lambda4_feedback,000011,4,4.0,IIYYII,IIYYII,YY_q2_q3,"1,3,5","0.0221354166667,0.000651041666667,-0.00716145833333","0.0699756353582,0.0801642347954,0.0408772002971",-0.019732510453040315,0.022135416666666668,0.04186792711970698,0.02718098958333333,0.0032224918413449434,0.046913500036373644,0.08549618311271204,0.011661518753118704,0.10522869356575235,0.03800455729166659,6.700594566641996e-17,0.0577370677447069,0.0463279729137067,1.54328654648412e-16,0.06606048336674702
fim_pair,fim_lambda4_feedback,000011,4,4.0,XXIIII,XXIIII,XX_q0_q1,"1,3,5","-0.100260416667,-0.0944010416667,-0.072265625","0.0104459101686,0.016941724613,-0.00143853597123",-6.7477439262317746e-06,-0.10026041666666667,0.10025366892274044,-0.10997178819444442,0.0038362998111249303,0.10996504045051819,0.01756303420832251,0.005863347113999616,0.01756978195224874,-0.09708658854166667,5.374844106186573e-17,0.09707984079774044,-0.002130525189285984,5.394535044533206e-17,0.002123777445359752
fim_pair,fim_lambda4_feedback,000011,4,4.0,YYIIII,YYIIII,YY_q0_q1,"1,3,5","-0.0872395833333,-0.0735677083333,-0.0859375","0.0560396979185,-0.0115562742374,-0.00113005391933",-6.747743926190109e-06,-0.08723958333333333,0.08723283558940714,-0.08322482638888885,0.006138079697799893,0.08321807864496267,0.057328437132314225,0.01839000712712087,0.05733518487624042,-0.10384114583333318,8.28803362383451e-17,0.10383439808940699,0.11909600617418035,3.4566281037689774e-16,0.11910275391810654
