family,label,initial,depth,lambda_fim,observable,pauli_label,basis_setting,n_repetitions,mean_expectation,stderr_expectation,readout_mitigated_mean_expectation,readout_mitigated_stderr_expectation,exact_expectation,deviation_from_exact,absolute_deviation,readout_mitigated_deviation_from_exact,readout_mitigated_absolute_deviation,readout_mitigation_delta,z_score_vs_exact,readout_mitigated_z_score_vs_exact,half_chain_purity_reference,parity_survival_reference
dla_parity,dla_even_signal,0011,10,,ZZ_q1q2,IZZI,IZZI,3,-0.3076171875,0.0171107572929055,-0.3134255175261056,0.017483381488194928,-0.5758078806892049,0.26819069318920485,0.26819069318920485,0.26238236316309926,0.26238236316309926,-0.00580833002610559,15.673806167562361,15.007529483942465,0.5528498324338822,1.0000000000000053
dla_parity,dla_even_signal,0011,10,,XX_q0q1,XXII,XXII,3,-0.2776692708333333,0.012096942822957063,-0.2927968970781179,0.012669483825602795,-0.3542228551840659,0.07655358435073256,0.07655358435073256,0.061425958105947975,0.061425958105947975,-0.015127626244784587,6.32834142238421,4.848339439197747,0.5528498324338822,1.0000000000000053
dla_parity,dla_even_signal,0011,10,,YY_q0q1,YYII,YYII,3,-0.2783203125,0.005722134059650699,-0.29354316539202,0.005916297647377571,-0.3542228551840658,0.07590254268406582,0.07590254268406582,0.0606796897920458,0.0606796897920458,-0.015222852892020022,13.264726392778572,10.256361902099767,0.5528498324338822,1.0000000000000053
dla_parity,dla_even_signal,0011,10,,ZZ_q0q1,ZZII,ZZII,3,-0.2877604166666667,0.009270202386652437,-0.3034390801310074,0.009726169459874517,-0.4078062332359939,0.12004581656932722,0.12004581656932722,0.10436715310498651,0.10436715310498651,-0.015678663464340714,12.949643552785147,10.730550555956796,0.5528498324338822,1.0000000000000053
dla_parity,dla_odd_shallow,0001,6,,XX_q2q3,IIXX,IIXX,3,0.439453125,0.001127637244510988,0.4469705570847513,0.0011562147419023206,-0.02654094933154684,0.4659940743315468,0.4659940743315468,0.47351150641629813,0.47351150641629813,0.007517432084751308,413.2482113373527,409.5359531891363,0.6564223888300256,1.000000000000003
dla_parity,dla_odd_shallow,0001,6,,YY_q2q3,IIYY,IIYY,3,0.4524739583333333,0.004231770833333334,0.46033410732434665,0.004339180613227756,-0.02654094933154684,0.47901490766488014,0.47901490766488014,0.4868750566558935,0.4868750566558935,0.007860148991013338,113.19490741127012,112.20437682904496,0.6564223888300256,1.000000000000003
dla_parity,dla_odd_shallow,0001,6,,ZZ_q2q3,IIZZ,IIZZ,3,0.4505208333333333,0.0047284632312284995,0.4583092761356413,0.004874854525757397,0.559325287878212,-0.10880445454487869,0.10880445454487869,-0.10101601174257069,0.10101601174257069,0.007788442802308004,-23.01053201097014,-20.721851536046813,0.6564223888300256,1.000000000000003
dla_parity,dla_odd_shallow,0001,6,,XX_q1q2,IXXI,IXXI,3,-0.1552734375,0.0112622681588582,-0.15841213452563746,0.01146776147364257,-0.15559110751882854,0.00031767001882854196,0.00031767001882854196,-0.0028210270068089183,0.0028210270068089183,-0.0031386970256374602,0.028206575651342707,-0.24599631002901037,0.6564223888300256,1.000000000000003
dla_parity,dla_odd_shallow,0001,6,,YY_q1q2,IYYI,IYYI,3,-0.11751302083333333,0.0016276041666666667,-0.12030948919606572,0.0016875684506626886,-0.1555911075188285,0.03807808668549516,0.03807808668549516,0.03528161832276276,0.03528161832276276,-0.002796468362732396,23.395176459568223,20.906777623691696,0.6564223888300256,1.000000000000003
dla_parity,dla_odd_shallow,0001,6,,ZZ_q1q2,IZZI,IZZI,3,-0.392578125,0.02219039969681545,-0.4031133286164293,0.022571241383668283,-0.5688396594411947,0.17626153444119474,0.17626153444119474,0.16572633082476546,0.16572633082476546,-0.01053520361642929,7.943143740060261,7.342366687225227,0.6564223888300256,1.000000000000003
dla_parity,dla_odd_shallow,0001,6,,XX_q0q1,XXII,XXII,3,-0.4293619791666667,0.005533854166666667,-0.4520535271359401,0.0058303208840566065,-0.20939229517376193,-0.21996968399290476,0.21996968399290476,-0.24266123196217818,0.24266123196217818,-0.022691547969273418,-39.749815836835495,-41.62056202185221,0.6564223888300256,1.000000000000003
dla_parity,dla_odd_shallow,0001,6,,YY_q0q1,YYII,YYII,3,-0.412109375,0.01581709715267753,-0.43409932080246927,0.01656979764063366,-0.20939229517376193,-0.20271707982623807,0.20271707982623807,-0.22470702562870734,0.22470702562870734,-0.02198994580246927,-12.816326401075559,-13.561241392451556,0.6564223888300256,1.000000000000003
dla_parity,dla_odd_shallow,0001,6,,ZZ_q0q1,ZZII,ZZII,3,-0.4195963541666667,0.011951536296019414,-0.4417400457854323,0.012540256266613772,-0.559325287878212,0.13972893371154532,0.13972893371154532,0.11758524209277971,0.11758524209277971,-0.022143691618765615,11.691294763342142,9.376621943989274,0.6564223888300256,1.000000000000003
dla_parity,dla_odd_signal,0001,10,,XX_q2q3,IIXX,IIXX,3,-0.24055989583333334,0.016285804363735664,-0.2531878000530437,0.01699081843112415,-0.37669139662373585,0.1361315007904025,0.1361315007904025,0.12350359657069215,0.12350359657069215,-0.012627904219710356,8.358905568921893,7.2688432915306525,0.6393284143740503,1.0000000000000053
dla_parity,dla_odd_signal,0001,10,,YY_q2q3,IIYY,IIYY,3,-0.2649739583333333,0.022667565571033447,-0.27847630675929813,0.02340877744226687,-0.37669139662373585,0.11171743829040254,0.11171743829040254,0.09821508986443772,0.09821508986443772,-0.013502348425964816,4.928515060001177,4.195652255085335,0.6393284143740503,1.0000000000000053
dla_parity,dla_odd_signal,0001,10,,ZZ_q2q3,IIZZ,IIZZ,3,-0.2835286458333333,0.018608861885359963,-0.29746865498008684,0.019282665266043227,-0.5278795589413271,0.24435091310799378,0.24435091310799378,0.23041090396124025,0.23041090396124025,-0.01394000914675353,13.13088971336987,11.94912118124012,0.6393284143740503,1.0000000000000053
dla_parity,dla_odd_signal,0001,10,,XX_q1q2,IXXI,IXXI,3,-0.234375,0.010874539771152388,-0.2391647883528157,0.011018858644392353,-0.32827991175757426,0.09390491175757426,0.09390491175757426,0.08911512340475855,0.08911512340475855,-0.00478978835281571,8.635299859464586,8.087509449094389,0.6393284143740503,1.0000000000000053
dla_parity,dla_odd_signal,0001,10,,YY_q1q2,IYYI,IYYI,3,-0.2265625,0.02376079113397742,-0.23096341459280567,0.02433369686911091,-0.32827991175757426,0.10171741175757426,0.10171741175757426,0.09731649716476859,0.09731649716476859,-0.004400914592805671,4.280893307972416,3.999248354585272,0.6393284143740503,1.0000000000000053
dla_parity,dla_odd_signal,0001,10,,ZZ_q1q2,IZZI,IZZI,3,-0.19205729166666666,0.003105270837945787,-0.19966223936956237,0.0033056927960765903,-0.36748346609107424,0.17542617442440758,0.17542617442440758,0.16782122672151187,0.16782122672151187,-0.007604947702895715,56.49303509398759,50.76733897375247,0.6393284143740503,1.0000000000000053
dla_parity,dla_odd_signal,0001,10,,XX_q0q1,XXII,XXII,3,0.2652994791666667,0.0037540893862860665,0.27356249451517395,0.003863074588702216,-0.12445001747882631,0.38974949664549297,0.38974949664549297,0.39801251199400023,0.39801251199400023,0.008263015348507263,103.81998310143422,103.02998372281259,0.6393284143740503,1.0000000000000053
dla_parity,dla_odd_signal,0001,10,,YY_q0q1,YYII,YYII,3,0.2643229166666667,0.00959044261891682,0.2724732198556665,0.010059646411856731,-0.12445001747882625,0.38877293414549297,0.38877293414549297,0.39692323733449275,0.39692323733449275,0.008150303188999841,40.53753821316356,39.45697702323433,0.6393284143740503,1.0000000000000053
dla_parity,dla_odd_signal,0001,10,,ZZ_q0q1,ZZII,ZZII,3,0.24934895833333334,0.009932386915620026,0.2568725815031622,0.010333507294089387,0.5278795589413271,-0.27853060060799373,0.27853060060799373,-0.2710069774381649,0.2710069774381649,0.00752362316982888,-28.0426651694334,-26.226040174489146,0.6393284143740503,1.0000000000000053
fim_pair,fim_lambda0_reference,0011,4,0.0,XX_q2q3,IIXX,IIXX,3,0.12174479166666667,0.020657111963808733,0.11957017829714614,0.021309468781838467,-0.03419429860362761,0.1559390902702943,0.1559390902702943,0.15376447690077374,0.15376447690077374,-0.002174613369520531,7.548929905763188,7.215781795171891,0.5000513647720345,1.0000000000000024
fim_pair,fim_lambda0_reference,0011,4,0.0,YY_q2q3,IIYY,IIYY,3,0.08951822916666667,0.010672914264814455,0.08626027891804103,0.011066936899118137,-0.03419429860362761,0.12371252777029429,0.12371252777029429,0.12045457752166863,0.12045457752166863,-0.0032579502486256434,11.591260334409235,10.884183999573269,0.5000513647720345,1.0000000000000024
fim_pair,fim_lambda0_reference,0011,4,0.0,ZZ_q2q3,IIZZ,IIZZ,3,0.09993489583333333,0.011393229166666668,0.09703718825834762,0.011847633933670363,0.05831729946916957,0.04161759636416376,0.04161759636416376,0.03871988878917805,0.03871988878917805,-0.002897707574985711,3.6528358865917445,3.268153709504657,0.5000513647720345,1.0000000000000024
