family,label,n_qubits,initial,depth,target_observable,noise_model,p_x,p_z,p_readout,realistic,decoder,seed,trials,failures,logical_failure_rate,logical_failure_ci_low,logical_failure_ci_high,syndrome_rate,retained_fraction,decoder_runtime_ms
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,5,160,0,0.0,0.0,0.0,0.0,1.0,4.41127410158515
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,6,160,0,0.0,0.0,0.0,0.0,1.0,4.240855108946562
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,7,160,0,0.0,0.0,0.0,0.0,1.0,4.333919147029519
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,8,160,0,0.0,0.0,0.0,0.0,1.0,4.325133981183171
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,9,160,0,0.0,0.0,0.0,0.0,1.0,4.325737943872809
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,10,160,0,0.0,0.0,0.0,0.0,1.0,4.246629076078534
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,11,160,0,0.0,0.0,0.0,0.0,1.0,8.005516836419702
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,12,160,0,0.0,0.0,0.0,0.0,1.0,4.6505609061568975
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,13,160,0,0.0,0.0,0.0,0.0,1.0,4.503163974732161
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,14,160,0,0.0,0.0,0.0,0.0,1.0,4.656387027353048
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,15,160,0,0.0,0.0,0.0,0.0,1.0,4.461018135771155
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,16,160,0,0.0,0.0,0.0,0.0,1.0,6.048412062227726
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,17,160,0,0.0,0.0,0.0,0.0,1.0,4.91326698102057
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,18,160,0,0.0,0.0,0.0,0.0,1.0,4.305893089622259
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,physics_feature_disabled,19,160,0,0.0,0.0,0.0,0.0,1.0,4.320243839174509
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,0,160,12,0.075,0.03418708844005367,0.11581291155994633,0.0,1.0,0.4633781500160694
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,1,160,10,0.0625,0.02499218831363259,0.10000781168636741,0.0,1.0,0.45728194527328014
dla_parity,n4_even_signal,4,0011,6,parity_survival,depolarising_1pct,0.01,0.01,0.01,True,unencoded_physical,2,160,7,0.04375,0.012056453979161622,0.07544354602083837,0.0,1.0,0.45329006388783455
