n_qubits,family,label,initial,depth,lambda_fim,optimise,method,resource_seed,basis_gates,raw_depth,raw_two_qubit_gates,transpiled_depth,transpiled_size,transpiled_two_qubit_gates,ops
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,vqs_efficient_su2,1,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,vqs_efficient_su2,2,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,vqs_efficient_su2,3,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,vqs_efficient_su2,4,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,vqs_two_local,0,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,vqs_two_local,1,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,vqs_two_local,2,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,vqs_two_local,3,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,fim_pair,n4_fim_lambda4,0011,4,4.0,True,vqs_two_local,4,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
6,resource_stress,n6_even_probe,000011,4,,False,trotter_reference,0,rz sx x cx,26,40,96,266,40,"{""cx"": 40, ""rz"": 118, ""sx"": 96, ""x"": 12}"
6,resource_stress,n6_even_probe,000011,4,,False,trotter_reference,1,rz sx x cx,26,40,96,266,40,"{""cx"": 40, ""rz"": 118, ""sx"": 96, ""x"": 12}"
6,resource_stress,n6_even_probe,000011,4,,False,trotter_reference,2,rz sx x cx,26,40,96,266,40,"{""cx"": 40, ""rz"": 118, ""sx"": 96, ""x"": 12}"
6,resource_stress,n6_even_probe,000011,4,,False,trotter_reference,3,rz sx x cx,26,40,96,266,40,"{""cx"": 40, ""rz"": 118, ""sx"": 96, ""x"": 12}"
6,resource_stress,n6_even_probe,000011,4,,False,trotter_reference,4,rz sx x cx,26,40,96,266,40,"{""cx"": 40, ""rz"": 118, ""sx"": 96, ""x"": 12}"
6,resource_stress,n6_even_probe,000011,4,,False,vqs_topology_informed,0,rz sx x cx,19,30,42,139,30,"{""cx"": 30, ""rz"": 66, ""sx"": 43}"
6,resource_stress,n6_even_probe,000011,4,,False,vqs_topology_informed,1,rz sx x cx,19,30,42,139,30,"{""cx"": 30, ""rz"": 66, ""sx"": 43}"
6,resource_stress,n6_even_probe,000011,4,,False,vqs_topology_informed,2,rz sx x cx,19,30,42,139,30,"{""cx"": 30, ""rz"": 66, ""sx"": 43}"
6,resource_stress,n6_even_probe,000011,4,,False,vqs_topology_informed,3,rz sx x cx,19,30,42,139,30,"{""cx"": 30, ""rz"": 66, ""sx"": 43}"
6,resource_stress,n6_even_probe,000011,4,,False,vqs_topology_informed,4,rz sx x cx,19,30,42,139,30,"{""cx"": 30, ""rz"": 66, ""sx"": 43}"
6,resource_stress,n6_even_probe,000011,4,,False,vqs_efficient_su2,0,rz sx x cx,13,10,22,100,10,"{""cx"": 10, ""rz"": 54, ""sx"": 36}"
6,resource_stress,n6_even_probe,000011,4,,False,vqs_efficient_su2,1,rz sx x cx,13,10,22,100,10,"{""cx"": 10, ""rz"": 54, ""sx"": 36}"
6,resource_stress,n6_even_probe,000011,4,,False,vqs_efficient_su2,2,rz sx x cx,13,10,22,100,10,"{""cx"": 10, ""rz"": 54, ""sx"": 36}"
6,resource_stress,n6_even_probe,000011,4,,False,vqs_efficient_su2,3,rz sx x cx,13,10,22,100,10,"{""cx"": 10, ""rz"": 54, ""sx"": 36}"
6,resource_stress,n6_even_probe,000011,4,,False,vqs_efficient_su2,4,rz sx x cx,13,10,22,100,10,"{""cx"": 10, ""rz"": 54, ""sx"": 36}"
6,resource_stress,n6_even_probe,000011,4,,False,vqs_two_local,0,rz sx x cx,13,10,43,148,10,"{""cx"": 10, ""rz"": 84, ""sx"": 54}"
