n_qubits,family,label,initial,depth,lambda_fim,optimise,ansatz,seed,optimizer,maxiter,num_parameters,n_evals,optimizer_success,best_loss,fidelity,target_parity_survival,candidate_parity_survival,parity_error,target_exact_state_retention,candidate_exact_state_retention,retention_error,target_magnetisation_expectation,candidate_magnetisation_expectation,promoted_accuracy_gate
4,dla_parity,n4_even_signal,0011,6,,True,two_local,11,COBYLA,60,24,60,False,0.4299261003000049,0.5700738996999951,1.0000000000000038,0.8493336517056943,0.15066634829430947,0.2446927766843631,0.28685178280520973,0.04215900612084664,3.0767859336162882e-33,0.3587152572966071,False
4,dla_parity,n4_even_signal,0011,6,,True,two_local,23,COBYLA,60,24,60,False,0.42686844306512983,0.5731315569348702,1.0000000000000038,0.9347558143134186,0.06524418568658519,0.2446927766843631,0.11478201134785247,0.12991076533651064,3.0767859336162882e-33,0.03334820290766985,False
4,dla_parity,n4_even_signal,0011,6,,True,two_local,37,COBYLA,60,24,60,False,0.3248870591604436,0.6751129408395564,1.0000000000000038,0.7732061905108027,0.22679380948920103,0.2446927766843631,0.16480624391013213,0.07988653277423097,3.0767859336162882e-33,-0.20551905972280327,False
4,dla_parity,n4_even_signal,0011,6,,True,two_local,41,COBYLA,60,24,60,False,0.37333176030864834,0.6266682396913517,1.0000000000000038,0.8866914450581953,0.11330855494180847,0.2446927766843631,0.12451823149158149,0.1201745451927816,3.0767859336162882e-33,0.23156868168563602,False
4,dla_parity,n4_even_signal,0011,6,,True,two_local,53,COBYLA,60,24,60,False,0.37870665698969974,0.6212933430103003,1.0000000000000038,0.9291484757393648,0.07085152426063901,0.2446927766843631,0.0011966468735001283,0.24349612981086297,3.0767859336162882e-33,-0.015248360774773529,False
4,dla_parity,n4_odd_signal,0001,6,,True,topology_informed,11,COBYLA,60,16,60,False,0.25817512453652847,0.7418248754634715,1.000000000000003,0.9432975559089554,0.05670244409104774,0.19715622392059598,0.3916903971134295,0.19453417319283353,2.000000000000006,1.8111786218113395,False
4,dla_parity,n4_odd_signal,0001,6,,True,topology_informed,23,COBYLA,60,16,60,False,0.19130548393192803,0.808694516068072,1.000000000000003,0.8833399585716748,0.11666004142832831,0.19715622392059598,0.21984959106046237,0.02269336713986639,2.000000000000006,1.8129702397537812,False
4,dla_parity,n4_odd_signal,0001,6,,True,topology_informed,37,COBYLA,60,16,60,False,0.22553091115373713,0.7744690888462629,1.000000000000003,0.886463869637421,0.11353613036258214,0.19715622392059598,0.17659680297640806,0.020559420944187917,2.000000000000006,1.5249967872736763,False
4,dla_parity,n4_odd_signal,0001,6,,True,topology_informed,41,COBYLA,60,16,60,False,0.20346518932152358,0.7965348106784764,1.000000000000003,0.8642071694147494,0.1357928305852537,0.19715622392059598,0.09947176574324028,0.0976844581773557,2.000000000000006,1.9697979568929413,False
4,dla_parity,n4_odd_signal,0001,6,,True,topology_informed,53,COBYLA,60,16,60,False,0.21154384830096207,0.7884561516990379,1.000000000000003,0.907254951353944,0.09274504864605915,0.19715622392059598,0.26955087282630136,0.07239464890570538,2.000000000000006,1.7887375707912607,False
4,dla_parity,n4_odd_signal,0001,6,,True,efficient_su2,11,COBYLA,60,24,60,False,0.22888973935351586,0.7711102606464841,1.000000000000003,0.8189437818597691,0.18105621814023398,0.19715622392059598,0.12967804928381868,0.0674781746367773,2.000000000000006,1.5122826247787455,False
