backend,job_id,block,depth,sector,initial,rep,shots,parity_leakage,same_parity_fraction,initial_state_retention,total_shots
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,odd,0001,5,4096,0.11181640625,0.88818359375,0.063232421875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,odd,0001,6,4096,0.12353515625,0.87646484375,0.0556640625,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,odd,0001,7,4096,0.114990234375,0.885009765625,0.0556640625,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,odd,0001,8,4096,0.121337890625,0.878662109375,0.055419921875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,odd,0001,9,4096,0.136962890625,0.863037109375,0.0537109375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,odd,0001,10,4096,0.123046875,0.876953125,0.061279296875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,8,odd,0001,11,4096,0.114501953125,0.885498046875,0.0576171875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,even,0011,0,4096,0.128173828125,0.871826171875,0.025146484375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,even,0011,1,4096,0.139404296875,0.860595703125,0.02783203125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,even,0011,2,4096,0.133056640625,0.866943359375,0.027099609375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,even,0011,3,4096,0.133056640625,0.866943359375,0.02294921875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,even,0011,4,4096,0.148193359375,0.851806640625,0.021728515625,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,even,0011,5,4096,0.134033203125,0.865966796875,0.026123046875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,even,0011,6,4096,0.13525390625,0.86474609375,0.021484375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,even,0011,7,4096,0.126220703125,0.873779296875,0.021240234375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,even,0011,8,4096,0.135009765625,0.864990234375,0.025390625,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,even,0011,9,4096,0.137451171875,0.862548828125,0.031982421875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,even,0011,10,4096,0.1240234375,0.8759765625,0.027587890625,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,even,0011,11,4096,0.129150390625,0.870849609375,0.0244140625,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,odd,0001,0,4096,0.142822265625,0.857177734375,0.033203125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,odd,0001,1,4096,0.139404296875,0.860595703125,0.03662109375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,odd,0001,2,4096,0.14111328125,0.85888671875,0.03955078125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,odd,0001,3,4096,0.1376953125,0.8623046875,0.03076171875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,odd,0001,4,4096,0.128173828125,0.871826171875,0.03515625,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,odd,0001,5,4096,0.140380859375,0.859619140625,0.03125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,odd,0001,6,4096,0.142333984375,0.857666015625,0.03271484375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,odd,0001,7,4096,0.135986328125,0.864013671875,0.035400390625,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,odd,0001,8,4096,0.135498046875,0.864501953125,0.036376953125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,odd,0001,9,4096,0.135498046875,0.864501953125,0.033447265625,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,odd,0001,10,4096,0.125244140625,0.874755859375,0.03466796875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,10,odd,0001,11,4096,0.1396484375,0.8603515625,0.037109375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,even,0011,0,4096,0.16845703125,0.83154296875,0.01123046875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,even,0011,1,4096,0.163818359375,0.836181640625,0.015380859375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,even,0011,2,4096,0.166015625,0.833984375,0.01806640625,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,even,0011,3,4096,0.17138671875,0.82861328125,0.016845703125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,even,0011,4,4096,0.170166015625,0.829833984375,0.0146484375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,even,0011,5,4096,0.159912109375,0.840087890625,0.014404296875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,even,0011,6,4096,0.153076171875,0.846923828125,0.014892578125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,even,0011,7,4096,0.155517578125,0.844482421875,0.01318359375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,even,0011,8,4096,0.159912109375,0.840087890625,0.017333984375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,even,0011,9,4096,0.16552734375,0.83447265625,0.016357421875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,even,0011,10,4096,0.156005859375,0.843994140625,0.018798828125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,even,0011,11,4096,0.167724609375,0.832275390625,0.017333984375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,odd,0001,0,4096,0.178955078125,0.821044921875,0.027099609375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,odd,0001,1,4096,0.17529296875,0.82470703125,0.029541015625,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,odd,0001,2,4096,0.17626953125,0.82373046875,0.03125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,odd,0001,3,4096,0.179443359375,0.820556640625,0.033203125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,odd,0001,4,4096,0.173583984375,0.826416015625,0.026611328125,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,odd,0001,5,4096,0.185546875,0.814453125,0.03515625,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,odd,0001,6,4096,0.175537109375,0.824462890625,0.02685546875,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,odd,0001,7,4096,0.174560546875,0.825439453125,0.032958984375,4096
ibm_marrakesh,ibm-run-63e0a1af74a38c9c,main,14,odd,0001,8,4096,0.176513671875,0.823486328125,0.0283203125,4096
