lambda_fim,magnetisation,max_spacing,mean_r,median_r,min_spacing,n_qubits,n_spacings,scope
8.0,0,1.3831569524243656,0.6617975946749958,0.7081564638065696,0.4168203067481582,4,5,magnetisation_sector
8.0,-2,2.3973649443796026,0.526220960081631,0.526220960081631,0.7553829692219916,4,3,magnetisation_sector
8.0,-4,,,,,4,0,magnetisation_sector
0.0,,1.4830491144107913,0.4333711069975406,0.45661690930101567,0.0007531707181762659,6,63,full_spectrum
0.0,6,,,,,6,0,magnetisation_sector
0.0,4,2.254926801666838,0.5931386523844834,0.5857895497466256,0.514153186976456,6,5,magnetisation_sector
0.0,2,2.1803946288471967,0.4103629023938664,0.32565970234851427,0.1303753963417682,6,14,magnetisation_sector
0.0,0,1.6355334842387483,0.49264183078240414,0.44468767129638986,0.029491140237056457,6,19,magnetisation_sector
0.0,-2,2.460983480375457,0.6166924743086758,0.7344478180321705,0.2726845892234593,6,14,magnetisation_sector
0.0,-4,2.3323549633657397,0.7309795164923157,0.8063618516835234,0.5915399510264105,6,5,magnetisation_sector
0.0,-6,,,,,6,0,magnetisation_sector
0.25,,1.513792935107734,0.4935006512938193,0.46754727536832896,0.029491140237055125,6,63,full_spectrum
0.25,6,,,,,6,0,magnetisation_sector
0.25,4,2.254926801666831,0.5931386523844838,0.5857895497466252,0.514153186976456,6,5,magnetisation_sector
0.25,2,2.1803946288471927,0.410362902393866,0.3256597023485149,0.13037539634176953,6,14,magnetisation_sector
0.25,0,1.6355334842387483,0.49264183078240414,0.44468767129638986,0.029491140237056457,6,19,magnetisation_sector
0.25,-2,2.4609834803754564,0.6166924743086771,0.7344478180321673,0.27268458922346017,6,14,magnetisation_sector
0.25,-4,2.3323549633657406,0.7309795164923133,0.8063618516835194,0.5915399510264105,6,5,magnetisation_sector
0.25,-6,,,,,6,0,magnetisation_sector
0.5,,2.113473651967425,0.44451167300932093,0.47029217169944826,0.003345514697146168,6,63,full_spectrum
0.5,6,,,,,6,0,magnetisation_sector
0.5,4,2.254926801666837,0.5931386523844837,0.5857895497466259,0.514153186976456,6,5,magnetisation_sector
0.5,2,2.1803946288471976,0.41036290239386425,0.325659702348511,0.13037539634176643,6,14,magnetisation_sector
0.5,0,1.6355334842387483,0.49264183078240414,0.44468767129638986,0.029491140237056457,6,19,magnetisation_sector
0.5,-2,2.4609834803754547,0.616692474308675,0.7344478180321686,0.27268458922345573,6,14,magnetisation_sector
0.5,-4,2.332354963365744,0.730979516492316,0.8063618516835255,0.5915399510264177,6,5,magnetisation_sector
0.5,-6,,,,,6,0,magnetisation_sector
1.0,,3.780140318634098,0.4311479982972319,0.44440316495990473,0.0014114857448405127,6,63,full_spectrum
1.0,6,,,,,6,0,magnetisation_sector
1.0,4,2.254926801666823,0.5931386523844844,0.5857895497466232,0.5141531869764506,6,5,magnetisation_sector
1.0,2,2.1803946288472016,0.41036290239386575,0.32565970234851305,0.1303753963417682,6,14,magnetisation_sector
1.0,0,1.6355334842387483,0.49264183078240414,0.44468767129638986,0.029491140237056457,6,19,magnetisation_sector
1.0,-2,2.4609834803754556,0.6166924743086751,0.734447818032172,0.27268458922345484,6,14,magnetisation_sector
1.0,-4,2.3323549633657428,0.7309795164923194,0.8063618516835309,0.5915399510264132,6,5,magnetisation_sector
1.0,-6,,,,,6,0,magnetisation_sector
2.0,,7.113473651967418,0.3778282749184947,0.33440329433713456,0.0024421195113975003,6,63,full_spectrum
2.0,6,,,,,6,0,magnetisation_sector
2.0,4,2.254926801666832,0.5931386523844833,0.5857895497466232,0.5141531869764524,6,5,magnetisation_sector
2.0,2,2.1803946288472025,0.4103629023938646,0.32565970234850716,0.13037539634176687,6,14,magnetisation_sector
2.0,0,1.6355334842387483,0.49264183078240414,0.44468767129638986,0.029491140237056457,6,19,magnetisation_sector
2.0,-2,2.460983480375449,0.616692474308675,0.7344478180321709,0.27268458922345395,6,14,magnetisation_sector
2.0,-4,2.3323549633657437,0.7309795164923168,0.8063618516835274,0.5915399510264168,6,5,magnetisation_sector
2.0,-6,,,,,6,0,magnetisation_sector
4.0,,13.780140318634096,0.407138714721649,0.3200847556113952,0.0027354128047503146,6,63,full_spectrum
4.0,6,,,,,6,0,magnetisation_sector
4.0,4,2.2549268016668336,0.5931386523844857,0.585789549746628,0.5141531869764577,6,5,magnetisation_sector
4.0,2,2.1803946288472,0.41036290239386575,0.32565970234851105,0.1303753963417682,6,14,magnetisation_sector
4.0,0,1.6355334842387483,0.49264183078240414,0.44468767129638986,0.029491140237056457,6,19,magnetisation_sector
4.0,-2,2.460983480375457,0.6166924743086758,0.7344478180321722,0.27268458922345973,6,14,magnetisation_sector
4.0,-4,2.3323549633657423,0.7309795164923198,0.8063618516835319,0.5915399510264164,6,5,magnetisation_sector
4.0,-6,,,,,6,0,magnetisation_sector
8.0,,21.586,0.4232195067260166,0.3749120808496865,0.016449315334170933,6,63,full_spectrum
8.0,6,,,,,6,0,magnetisation_sector
8.0,4,2.254926801666816,0.5931386523844893,0.5857895497466304,0.5141531869764613,6,5,magnetisation_sector
8.0,2,2.1803946288471945,0.4103629023938608,0.3256597023484875,0.13037539634176465,6,14,magnetisation_sector
8.0,0,1.6355334842387483,0.49264183078240414,0.44468767129638986,0.029491140237056457,6,19,magnetisation_sector
8.0,-2,2.460983480375459,0.6166924743086759,0.7344478180321707,0.27268458922345484,6,14,magnetisation_sector
8.0,-4,2.332354963365738,0.7309795164923185,0.8063618516835281,0.5915399510264177,6,5,magnetisation_sector
8.0,-6,,,,,6,0,magnetisation_sector
0.0,,1.1473689002243823,0.4368389619598991,0.3971431427727571,0.00010440332830796706,8,255,full_spectrum
0.0,8,,,,,8,0,magnetisation_sector
0.0,6,2.3266013505222816,0.5681740883792183,0.46312805083760994,0.2538786020111363,8,7,magnetisation_sector
0.0,4,2.1459295514490053,0.5550737072288285,0.5493240278116165,0.032804241416997115,8,27,magnetisation_sector
0.0,2,2.0371010550149826,0.42627208879423,0.3278429367806326,0.015475213385765407,8,55,magnetisation_sector
0.0,0,1.8700858703035879,0.40325163795113755,0.36871698386316115,0.008499395100717733,8,69,magnetisation_sector
0.0,-2,2.0683823405137027,0.47663982295774854,0.4592826382786934,0.01933282418866833,8,55,magnetisation_sector
0.0,-4,2.3068748652411792,0.3619273618063365,0.22434447250261053,0.013812135402698988,8,27,magnetisation_sector
0.0,-6,2.489251514751908,0.41889823272107113,0.33013310521369993,0.12432523502246084,8,7,magnetisation_sector
0.0,-8,,,,,8,0,magnetisation_sector
