fim_energy_shift,ground_energy,lambda_fim,magnetisation,max_energy,mean_energy,median_energy,n_qubits,sector_dimension,spectral_gap,spectral_width
-0.0,2.965156549381662,0.0,-4,9.774538268868028,7.195333333333331,7.984336004893571,6,6,2.3154783047398833,6.809381719486366
-0.0,10.793000000000001,0.0,-6,10.793000000000001,10.793000000000001,10.793000000000001,6,1,,0.0
-1.5,-12.293000000000001,0.25,6,-12.293000000000001,-12.293000000000001,-12.293000000000001,6,1,,0.0
-0.6666666666666666,-11.012859681365915,0.25,4,-3.7577422092378914,-7.861999999999998,-8.444831176116654,6,6,1.5137929351077553,7.255117472128024
-0.16666666666666666,-9.02981056695511,0.25,2,2.1730375602215823,-3.764333333333332,-3.5663026283828225,6,15,1.738692622387128,11.202848127176692
-0.0,-6.307226801913039,0.25,0,5.469788009268104,-2.6645352591003756e-16,0.06070366408982,6,20,1.6355334842387483,11.777014811181143
-0.16666666666666666,-2.832318298622438,0.25,-2,7.918848022958889,3.4309999999999996,3.635790085220923,6,15,2.4609834803754564,10.751166321581326
-0.6666666666666666,2.2984898827149953,0.25,-4,9.107871602201364,6.528666666666666,7.317669338226904,6,6,2.315478304739882,6.809381719486368
-1.5,9.293000000000001,0.25,-6,9.293000000000001,9.293000000000001,9.293000000000001,6,1,,0.0
-3.0,-13.793000000000001,0.5,6,-13.793000000000001,-13.793000000000001,-13.793000000000001,6,1,,0.0
-1.3333333333333333,-11.679526348032585,0.5,4,-4.424408875904556,-8.52866666666667,-9.111497842783326,6,6,1.5137929351077517,7.255117472128029
-0.3333333333333333,-9.196477233621781,0.5,2,2.006370893554919,-3.9309999999999996,-3.732969295049486,6,15,1.7386926223871288,11.2028481271767
-0.0,-6.307226801913039,0.5,0,5.469788009268104,-2.6645352591003756e-16,0.06070366408982,6,20,1.6355334842387483,11.777014811181143
-0.3333333333333333,-2.998984965289103,0.5,-2,7.7521813562922235,3.264333333333333,3.469123418554257,6,15,2.4609834803754547,10.751166321581326
-1.3333333333333333,1.6318232160483281,0.5,-4,8.441204935534705,5.862000000000003,6.651002671560242,6,6,2.3154783047398855,6.809381719486376
-3.0,7.793000000000001,0.5,-6,7.793000000000001,7.793000000000001,7.793000000000001,6,1,,0.0
-6.0,-16.793,1.0,6,-16.793,-16.793,-16.793,6,1,,0.0
-2.6666666666666665,-13.01285968136591,1.0,4,-5.75774220923789,-9.861999999999997,-10.444831176116656,6,6,1.5137929351077464,7.2551174721280205
-0.6666666666666666,-9.529810566955122,1.0,2,1.6730375602215914,-4.264333333333332,-4.066302628382821,6,15,1.7386926223871368,11.202848127176713
-0.0,-6.307226801913039,1.0,0,5.469788009268104,-2.6645352591003756e-16,0.06070366408982,6,20,1.6355334842387483,11.777014811181143
-0.6666666666666666,-3.332318298622437,1.0,-2,7.418848022958892,2.9310000000000005,3.1357900852209246,6,15,2.4609834803754556,10.75116632158133
-2.6666666666666665,0.2984898827149951,1.0,-4,7.1078716022013655,4.528666666666669,5.317669338226909,6,6,2.3154783047398837,6.80938171948637
-6.0,4.793000000000001,1.0,-6,4.793000000000001,4.793000000000001,4.793000000000001,6,1,,0.0
-12.0,-22.793,2.0,6,-22.793,-22.793,-22.793,6,1,,0.0
-5.333333333333333,-15.679526348032583,2.0,4,-8.424408875904552,-12.528666666666666,-13.111497842783326,6,6,1.5137929351077553,7.255117472128031
-1.3333333333333333,-10.19647723362179,2.0,2,1.006370893554925,-4.931000000000001,-4.732969295049492,6,15,1.7386926223871377,11.202848127176715
-0.0,-6.307226801913039,2.0,0,5.469788009268104,-2.6645352591003756e-16,0.06070366408982,6,20,1.6355334842387483,11.777014811181143
-1.3333333333333333,-3.9989849652890985,2.0,-2,6.752181356292219,2.264333333333333,2.469123418554257,6,15,2.460983480375449,10.751166321581318
-5.333333333333333,-2.368176783951671,2.0,-4,4.4412049355347,1.8620000000000012,2.6510026715602413,6,6,2.3154783047398837,6.809381719486371
-12.0,-1.206999999999999,2.0,-6,-1.206999999999999,-1.206999999999999,-1.206999999999999,6,1,,0.0
-24.0,-34.793,4.0,6,-34.793,-34.793,-34.793,6,1,,0.0
-10.666666666666666,-21.01285968136591,4.0,4,-13.757742209237882,-17.862,-18.444831176116654,6,6,1.5137929351077446,7.255117472128028
-2.6666666666666665,-11.529810566955113,4.0,2,-0.326962439778413,-6.264333333333331,-6.066302628382819,6,15,1.738692622387127,11.2028481271767
-0.0,-6.307226801913039,4.0,0,5.469788009268104,-2.6645352591003756e-16,0.06070366408982,6,20,1.6355334842387483,11.777014811181143
-2.6666666666666665,-5.332318298622437,4.0,-2,5.41884802295889,0.9310000000000005,1.1357900852209242,6,15,2.460983480375457,10.751166321581326
-10.666666666666666,-7.701510117285006,4.0,-4,-0.892128397798634,-3.471333333333332,-2.6823306617730918,6,6,2.3154783047398846,6.809381719486372
-24.0,-13.206999999999999,4.0,-6,-13.206999999999999,-13.206999999999999,-13.206999999999999,6,1,,0.0
-48.0,-58.793,8.0,6,-58.793,-58.793,-58.793,6,1,,0.0
-21.333333333333332,-31.679526348032578,8.0,4,-24.424408875904557,-28.528666666666666,-29.111497842783315,6,6,1.5137929351077375,7.2551174721280205
-5.333333333333333,-14.196477233621781,8.0,2,-2.9936291064450824,-8.930999999999996,-8.73296929504949,6,15,1.7386926223871324,11.202848127176699
