initial_bitstring,magnetisation,popcount,depth,observable,lambda_0_mean,lambda_4_mean,delta_lambda_4_minus_0,relative_delta_to_lambda_0,welch_t,welch_p,n_lambda_0,n_lambda_4
0011,0,2,6,parity_leakage,0.116796875,0.20205078125,0.08525390625000001,0.7299331103678931,-17.000401521056297,1.1680714414793959e-05,5,5
0011,0,2,6,parity_leakage_readout_corrected,0.10681362725450902,0.1942885771543086,0.08747494989979959,0.8189493433395871,-17.000401521056297,1.1680714414794042e-05,5,5
0111,-2,3,2,state_retention,0.77666015625,0.7107421875,-0.06591796875,-0.08487363259147492,13.365681533477531,3.850740366995643e-06,5,5
0111,-2,3,2,magnetisation_leakage,0.0681640625,0.14609375,0.0779296875,1.143266475644699,-19.872523979160917,1.3779781932470633e-07,5,5
0111,-2,3,2,parity_leakage,0.06064453125,0.11806640625,0.057421875000000004,0.9468599033816426,-16.327035537327735,7.484930269215779e-07,5,5
0111,-2,3,2,parity_leakage_readout_corrected,0.042784552845528456,0.10254065040650406,0.05975609756097561,1.3966745843230404,-16.327035537327728,7.484930269215816e-07,5,5
0111,-2,3,4,state_retention,0.45791015625,0.3791015625,-0.07880859374999999,-0.17210492642354444,12.844359880792362,1.715770531703771e-06,5,5
0111,-2,3,4,magnetisation_leakage,0.10888671875,0.2265625,0.11767578125,1.0807174887892377,-24.004174570799073,1.0752322023224829e-07,5,5
0111,-2,3,4,parity_leakage,0.09736328125,0.18291015625,0.08554687500000001,0.8786359077231696,-17.86082130952434,2.1577486862224886e-07,5,5
0111,-2,3,4,parity_leakage_readout_corrected,0.08099593495934959,0.17002032520325203,0.08902439024390243,1.0991217063989962,-17.86082130952434,2.1577486862224815e-07,5,5
0111,-2,3,6,state_retention,0.17666015625,0.1689453125,-0.0077148437500000056,-0.04367053620784967,0.7448688024253666,0.487751384798209,5,5
0111,-2,3,6,magnetisation_leakage,0.12900390625,0.3029296875,0.17392578125,1.348221044663134,-24.76359369599765,4.914991154257394e-06,5,5
0111,-2,3,6,parity_leakage,0.11416015625,0.2375,0.12333984374999998,1.080410607356715,-23.5142126717791,3.7423338293780955e-06,5,5
0111,-2,3,6,parity_leakage_readout_corrected,0.09847560975609755,0.22682926829268293,0.12835365853658537,1.3034055727554181,-23.514212671779102,3.742333829378092e-06,5,5
1111,-4,4,2,state_retention,0.91123046875,0.81806640625,-0.09316406249999998,-0.10223984567570461,16.9843406949786,1.4680601302780512e-07,5,5
1111,-4,4,2,magnetisation_leakage,0.08876953125,0.18193359375,0.0931640625,1.0495049504950495,-16.984340694978602,1.4680601302780462e-07,5,5
1111,-4,4,2,parity_leakage,0.07578125,0.13203125,0.056249999999999994,0.7422680412371134,-10.95901042531954,4.336460647389833e-06,5,5
1111,-4,4,2,parity_leakage_readout_corrected,0.0422550052687039,0.10295047418335089,0.06069546891464699,1.4364089775561097,-10.959010425319546,4.336460647389821e-06,5,5
1111,-4,4,4,state_retention,0.86708984375,0.69970703125,-0.16738281249999998,-0.19303975672936138,17.018328435417565,1.4490046501140247e-07,5,5
1111,-4,4,4,magnetisation_leakage,0.13291015625,0.30029296875,0.1673828125,1.2593681116825863,-17.01832843541757,1.4490046501140218e-07,5,5
1111,-4,4,4,parity_leakage,0.109765625,0.2201171875,0.1103515625,1.0053380782918149,-13.451427795405769,1.2800314288688886e-06,5,5
1111,-4,4,4,parity_leakage_readout_corrected,0.07892518440463646,0.19799789251844047,0.11907270811380401,1.5086782376502004,-13.451427795405765,1.2800314288688895e-06,5,5
1111,-4,4,6,state_retention,0.8412109375,0.61318359375,-0.22802734375,-0.2710703505920595,20.235989896543703,1.5488274345842398e-05,5,5
1111,-4,4,6,magnetisation_leakage,0.1587890625,0.38681640625,0.22802734375000003,1.4360393603936041,-20.235989896543707,1.548827434584238e-05,5,5
1111,-4,4,6,parity_leakage,0.12763671875,0.27822265625,0.1505859375,1.1798010711553175,-16.551010383069087,5.443535796502264e-05,5,5
1111,-4,4,6,parity_leakage_readout_corrected,0.0982086406743941,0.260695468914647,0.1624868282402529,1.6545064377682404,-16.55101038306909,5.443535796502265e-05,5,5
