energy_above_global_ground,fim_energy_shift,ideal_unitary_sector_leakage,lambda_fim,magnetisation,n_qubits,off_sector_frobenius_norm,sector_dimension,sector_ground_energy
17.091489882714995,-2.6666666666666665,0.0,1.0,-4,6,0.0,6,0.2984898827149951
21.586,-6.0,0.0,1.0,-6,6,0.0,1,4.793000000000001
0.0,-12.0,0.0,2.0,6,6,0.0,1,-22.793
7.113473651967416,-5.333333333333333,0.0,2.0,4,6,0.0,6,-15.679526348032583
12.59652276637821,-1.3333333333333333,0.0,2.0,2,6,0.0,15,-10.19647723362179
16.48577319808696,-0.0,0.0,2.0,0,6,0.0,20,-6.307226801913039
18.794015034710903,-1.3333333333333333,0.0,2.0,-2,6,0.0,15,-3.9989849652890985
20.424823216048328,-5.333333333333333,0.0,2.0,-4,6,0.0,6,-2.368176783951671
21.586,-12.0,0.0,2.0,-6,6,0.0,1,-1.206999999999999
0.0,-24.0,0.0,4.0,6,6,0.0,1,-34.793
13.78014031863409,-10.666666666666666,0.0,4.0,4,6,0.0,6,-21.01285968136591
23.263189433044886,-2.6666666666666665,0.0,4.0,2,6,0.0,15,-11.529810566955113
28.48577319808696,-0.0,0.0,4.0,0,6,0.0,20,-6.307226801913039
29.460681701377563,-2.6666666666666665,0.0,4.0,-2,6,0.0,15,-5.332318298622437
27.091489882714995,-10.666666666666666,0.0,4.0,-4,6,0.0,6,-7.701510117285006
21.586,-24.0,0.0,4.0,-6,6,0.0,1,-13.206999999999999
0.0,-48.0,0.0,8.0,6,6,0.0,1,-58.793
27.11347365196742,-21.333333333333332,0.0,8.0,4,6,0.0,6,-31.679526348032578
44.596522766378214,-5.333333333333333,0.0,8.0,2,6,0.0,15,-14.196477233621781
52.48577319808696,-0.0,0.0,8.0,0,6,0.0,20,-6.307226801913039
50.794015034710895,-5.333333333333333,0.0,8.0,-2,6,0.0,15,-7.998984965289102
40.42482321604833,-21.333333333333332,0.0,8.0,-4,6,0.0,6,-18.368176783951668
21.586,-48.0,0.0,8.0,-6,6,0.0,1,-37.207
0.2827246064012545,-0.0,0.0,0.0,8,8,0.0,1,-12.473
1.7763568394002505e-15,-0.0,0.0,0.0,6,8,0.0,8,-12.755724606401253
0.5545014673970989,-0.0,0.0,0.0,4,8,0.0,28,-12.201223139004156
1.9620803848572912,-0.0,0.0,0.0,2,8,0.0,56,-10.793644221543964
4.2383669992779325,-0.0,0.0,0.0,0,8,0.0,70,-8.517357607123323
7.366124043802742,-0.0,0.0,0.0,-2,8,0.0,56,-5.389600562598513
11.453241544771544,-0.0,0.0,0.0,-4,8,0.0,28,-1.3024830616297125
17.20735420100019,-0.0,0.0,0.0,-6,8,0.0,8,4.451629594598935
25.228724606401258,-0.0,0.0,0.0,-8,8,0.0,1,12.473
0.0,-2.0,0.0,0.25,8,8,0.0,1,-14.473
0.5922753935987437,-1.125,0.0,0.25,6,8,0.0,8,-13.880724606401257
1.7717768609958409,-0.5,0.0,0.25,4,8,0.0,28,-12.70122313900416
3.554355778456026,-0.125,0.0,0.25,2,8,0.0,56,-10.918644221543975
5.955642392876678,-0.0,0.0,0.25,0,8,0.0,70,-8.517357607123323
8.958399437401498,-0.125,0.0,0.25,-2,8,0.0,56,-5.514600562598503
12.670516938370287,-0.5,0.0,0.25,-4,8,0.0,28,-1.802483061629713
17.799629594598933,-1.125,0.0,0.25,-6,8,0.0,8,3.3266295945989333
24.946,-2.0,0.0,0.25,-8,8,0.0,1,10.473
0.0,-4.0,0.0,0.5,8,8,0.0,1,-16.473
1.4672753935987402,-2.25,0.0,0.5,6,8,0.0,8,-15.005724606401259
3.271776860995846,-1.0,0.0,0.5,4,8,0.0,28,-13.201223139004153
5.429355778456049,-0.25,0.0,0.5,2,8,0.0,56,-11.04364422154395
7.955642392876676,-0.0,0.0,0.5,0,8,0.0,70,-8.517357607123323
10.83339943740148,-0.25,0.0,0.5,-2,8,0.0,56,-5.639600562598519
14.170516938370287,-1.0,0.0,0.5,-4,8,0.0,28,-2.3024830616297107
18.674629594598933,-2.25,0.0,0.5,-6,8,0.0,8,2.2016295945989324
24.945999999999998,-4.0,0.0,0.5,-8,8,0.0,1,8.473
0.0,-8.0,0.0,1.0,8,8,0.0,1,-20.473
3.217275393598733,-4.5,0.0,1.0,6,8,0.0,8,-17.255724606401266
6.271776860995839,-2.0,0.0,1.0,4,8,0.0,28,-14.20122313900416
9.179355778456056,-0.5,0.0,1.0,2,8,0.0,56,-11.293644221543943
11.955642392876676,-0.0,0.0,1.0,0,8,0.0,70,-8.517357607123323
14.583399437401495,-0.5,0.0,1.0,-2,8,0.0,56,-5.889600562598504
17.17051693837029,-2.0,0.0,1.0,-4,8,0.0,28,-3.30248306162971
